CodigoEstacion;NombreEstacion;Municipio;Departamento;ZonaHidrografica
27015290;PAJARITO - AUT;medellin;antioquia;nechi
21165502;VILLARICA  - AUT;villarrica;tolima;alto magdalena
15067220;PTE CARRETERA;riohacha;la guajira;caribe - guajira
2120000100;COLEGIO ALEMANIA SOLIDARIA - AUT;bogota;bogota;alto magdalena
35160010;PR TOTA: POTRERITO;aquitania;boyaca;meta
56010040;PR CHOCO: NUQUI;nuqui;choco;pacifico - directos
26185030;JERICO - AUT;jerico;antioquia;cauca
21206940;CIUDAD BOLIVAR;bogota;bogota;alto magdalena
16035501;SARDINATA  - AUT;sardinata;norte de santander;catatumbo
21195160;SUBIA;silvania;cundinamarca;alto magdalena
15017060;BOCATOMA STA MARTA - En Siniestro;santa marta;magdalena;caribe - guajira
26085160;SILOE - AUT;cali;valle del cauca;cauca
11050020;PR CHOCO: BETE;medio atrato (bete);choco;atrato - darien
2601700104;MOLINOS - AUT;popayan;cauca;cauca
16027120;SAN JAVIER - RIO ZULIA;<nil>;<nil>;catatumbo
55015010;PIE DE PATO - AUT;alto baudo (pie de pato);choco;baudo - directos pacifico
52025090;LA SIERRA - AUT;la sierra;cauca;patia
21197430;PROVIDENCIA - PROVIDENCIA;fusagasuga;cundinamarca;alto magdalena
53045040;AEROPUERTO GUAPI - AUT;guapi;cauca;tapaje - dagua - directos
26125760;PEÑAS BLANCAS - AUT;calarca;quindio;cauca
13085030;SAN BERNARDO;san bernardo del viento;cordoba;sinu
23065503;EL MIRADOR  - AUT;sasaima;cundinamarca;medio magdalena
25027200;LAS VARAS;san jacinto del cauca;bolivar;bajo magdalena- cauca -san jorge
24025050;CHARALA - ISAGEN - Estacion en Pruebas;charala;santander;sogamoso
2120000099;COLEGIO VEINTIUN ANGELES - AUT;bogota;bogota;alto magdalena
32067030;PUERTO ANGOSTURAS  - AUT;cubarral;meta;guaviare
26125501;GENOVA  - AUT;genova;quindio;cauca
2613700156;PUERTO CALDAS - AUT;pereira;risaralda;cauca
2120000108;IDIGER - AUT;bogota;bogota;alto magdalena
23195240;AGUACHICA - AUT;aguachica;cesar;medio magdalena
27015501;YOLOMBO  - AUT;yolombo;antioquia;nechi
26125507;ARTURO GOMEZ  - AUT;alcala;valle del cauca;cauca
21115010;DESIERTO TATACOA;villavieja;huila;alto magdalena
24015502;SUAITA  - AUT;suaita;santander;sogamoso
13085050;LORICA ITA - En Siniestro;lorica;cordoba;sinu
